category,Tales of London,london,200,
//,*************************************************************************,,,
quest,Marked by the Eater-of-Chains,eater_chains,,
mappings,"story=456,dangerous=211",,,
ns,You hunted in dreams.,!story && dangerous>=21,,
ip,You hunted in dreams.,story,,
c,You hunted in dreams.,story >=11,,
//,*************************************************************************,,,
quest,Assisting a Keen-Eyed Lapidary,lapidary,,
mappings,"story=646,watchful=209,cane=645",,,
ns,A request for assistance.,!story && watchful>=30,,
ip,A request for assistance.,story,,
c,A request for assistance.,cane,,
//,*************************************************************************,,,
quest,A Nocturnal Visitor to the Palace Cellars,palace_cellars,,
mappings,"story=579,shadowy=210",,,
ns,What lurks in that place?,!story && shadowy>=69 && shadowy<=106,,
b,You didn't start this story and your shadowy is greater than 106.,!story && shadowy>106,,
ip,What lurks in that place?,story,,
c,What lurks in that place?,story>=6,,
//,*************************************************************************,,,
quest,The Once-Dashing Smuggler,dashing_smuggler,,
mappings,roses=665,,,
ns,A friend in bandages? Possibly more?,!roses && shadowy>=71,,
ip,A friend in bandages? Possibly more?,roses,,
c,A friend in bandages? Possibly more?,roses=2 || roses=3,,
//,*************************************************************************,,,
quest,Playing with Broken Toys,broken_toys,,
mappings,"story=687,icarus=960,rendevous=976,plasterface=672",,,
ns,Dangerous toys plague London.,!story && icarus,,There are other ways to start this. Leaving just the simple version for now.
ip,Dangerous toys plague London.,story,,
c,Dangerous toys plague London.,story>=11,,
//,*************************************************************************,,,
quest,Ascending the Reliables List of Mr Pages,pages_reliables,,
mappings,"story=519,mynw=1018,fallencities=962,watchful=209",,,
ns,Wouldn't it be nice to be considered reliable?,!story && (mynw>=3 || fallencities>=5),,
ip,Wouldn't it be nice to be considered reliable?,story,,
c,Wouldn't it be nice to be considered reliable?,story>=20,,
//,*************************************************************************,,,
quest,Occasionally Seen at Mr Wines' Revels,wines_revels,,
mappings,"story=527,mynp=1020,persuasive=212",,,
ns,Mr Wines is throwing a party. Another one.,!story && mynp>=4,,
ip,Mr Wines is throwing a party. Another one.,story,,
c,Mr Wines is throwing a party. Another one.,story>=10,,
//,*************************************************************************,,,
quest,Inconvenienced by Your Aunt,your_aunt,,
mappings,"story=454,mynp=1020,persuasive=212,avoiding=144627",,,
ns,You have an aunt?,!story && mynp>=2,,
ip,You have an aunt?,story,,
c,You have an aunt?,story>=3,,
//,*************************************************************************,,,
quest,An Exceptional Sample: Reunion,es_reunion,,
mappings,"alpha=1018,blood=1015,flourish=1020,darkness=1016,story=142770",,,
ns,A taste of the Exceptional.,alpha>=5 && blood >=5 && flourish >=5 && darkness>=5,,
ns,A taste of the Exceptional.,story=1,,
ip,A taste of the Exceptional.,story>=2,,
c,A taste of the Exceptional.,story>=1200,,
//,*************************************************************************,,,
quest,A Friend of an Unlucky Devil,unlucky_devil,,
mappings,story=143105,,,
ns,"He was with you at the beginning.

*Unless your account predates him.*",!story,,
ip,He was with you at the beginning.,story,,
c,He was with you at the beginning.,story>2,,
//,*************************************************************************,,,
quest,The Screaming Map,screaming_map,,
mappings,"ho=977,explorer=771,routedocks=428,visitor=978,target=952,time=953,left=955,right=981,map=835",,,
ns,Where could it lead you?,!ho & explorer && routedocks,,
ip,Where could it lead you?,ho,,
c,Where could it lead you?,map,,
//,*************************************************************************,,,
quest,An Editor of Newspapers,newspaper,,
mappings,"story=732,posi=716,shadowy=210",,,
ns,Let free the presses!,!story && posi && shadowy>=110,,
ip,Let free the presses!,story,,
c,Let free the presses!,story>=10,,
//,*************************************************************************,,,
quest,Uncover Hidden Tattoos,hidden_tattoos,,
mappings,"story=248,persuasive=212,tggmoves=109222,mynp=1020",,,
ns,The game awaits.,!story && !tggmoves && persuasive>=22 && mynp>=2,,
ip,The game awaits.,story,,
c,The game awaits.,tggmoves,,
//,*************************************************************************,,,
quest,The Prelapsarian History of the Red Science,red_history,,
mappings,"artsci=140969,first=143188,second=143189,third=143190,fourth=143191,fifth=143192",,,
ns,What could you learn from the past?,artsci.cap>=7,,
ip,What could you learn from the past?,first || second || third || fourth,,
,A Mystery of the First City,first,,
,A Mystery of the Second City,second,,
,A Mystery of the Third City,third,,
,A Mystery of the Fourth City,fourth,,
,A Mystery of the Fifth City,fifth,,
c,What could you learn from the past?,fifth,,
//,*************************************************************************,,,
quest,Advising the Loquacious Vicar,loq_vicar,,
mappings,story=943,,,
ns,You're new here. Time to make some acquaintences.,!story,,
ip,You're new here. Time to make some acquaintences.,story,,
c,You're new here. Time to make some acquaintences.,story>5,,
//,*********************************************************************************,,,
quest,A Friendship with a Bohemian Sculptress,boh_sculptress,,
mappings,story=941,,,
ns,You're new here. Time to make some acquaintences.,!story,,
ip,You're new here. Time to make some acquaintences.,story,,
c,You're new here. Time to make some acquaintences.,story>5,,
//,*********************************************************************************,,,
quest,Collecting Clues for the Clay Coalman,clay_coalman,,
mappings,story=940,,,
ns,You're new here. Time to make some acquaintences.,!story,,
ip,You're new here. Time to make some acquaintences.,story,,
c,You're new here. Time to make some acquaintences.,story>5,,
//,*********************************************************************************,,,
quest,Befriending a Rooftop Urchin,roof_urchin,,
mappings,story=942,,,
ns,You're new here. Time to make some acquaintences.,!story,,
ip,You're new here. Time to make some acquaintences.,story,,
c,You're new here. Time to make some acquaintences.,story>5,,
//,*********************************************************************************,,,
quest,The Affair of the Box,affair_box,,
mappings,"story=450,myn=1016,box=451,routehall=696,tales=685,power=884,newspaper=906,truth=914",,,
ns,What's up with that d__nable box?,myn>=3,,
ip,What's up with that d__nable box?,story,,
c,What's up with that d__nable box?,story>=60,,
//,*********************************************************************************,,,
quest,Dueling with the Black Ribbon,dueling_ribbon,,
mappings,"dueling=547,spider=538,route=430",,,
